s,facility_name,County,Subcounty,Latitude,Longitude,Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
15294,namanga health centre,kajiado,kajiado central,-2.54315,36.78729,Matapato South Ward
