County,Health Facility Name,Latitude,Longitude,Subcounty
Kajiado,St Gladys Njoga Clinic,0.528165,36.13130,Kajiado Central
Kajiado,Esonorua Dispensary (CDF),-1.749340,36.34500,Kajiado West
Kajiado,Isinya Medical Care,-1.413400,36.50734,Kajiado East
Kajiado,Oldorko Dispensary,-1.765360,36.18911,Kajiado West
Kajiado,Faith Medical Clinic (Illasit),-2.971290,37.61660,Loitokitok
Kajiado,Wanainchi Jamii Materinty And Nursing Home,-1.396020,36.74899,Kajiado North
Kajiado,Singiraine Dispesary,-1.918760,36.49617,Kajiado West
Kajiado,Kkit Nursing Home Annex,-1.403420,36.80417,Kajiado North
Kajiado,Kkit Nursing Home,-1.395330,36.73252,Kajiado North
Kajiado,Kilinito Dispensary (CDF),-1.785580,36.61133,Kajiado West
Kajiado,Maparasha Dispensary,-2.200300,36.91841,Kajiado Central
Kajiado,Shompole Dispensary,-2.093310,36.11861,Kajiado West
Kajiado,Sancta Maria Clinic,-1.362370,36.65600,Kajiado North
Kajiado,Namelok Health Centre,-2.715500,37.45466,Loitokitok
